AudioSampleNumber	Action	Name	AudioSampleCut	VideoFrameCut
33417345	MovieStart	80.avi	33416932.500000	42424.500000
38075824	MovieEnd	80.avi		
38087013	InstructionStart	Emotion keyword		
38312464	KeyPress	D2		
38313262	InstructionEnd	Emotion keyword		
38329251	InstructionStart	Arousal assessment		
38584281	KeyPress	D7		
38584281	InstructionEnd	Arousal assessment		
38596274	InstructionStart	Valence assessment		
38903273	KeyPress	D8		
38904077	InstructionEnd	Valence assessment		
38916867	InstructionStart	Dominance assessment		
39262234	KeyPress	D2		
39262234	InstructionEnd	Dominance assessment		
39274227	InstructionStart	Dominance assessment		
39583620	KeyPress	D2		
39583620	InstructionEnd	Dominance assessment		
39594809	InstructionStart	Predictability assessment		
39926594	KeyPress	D1		
39927392	InstructionEnd	Predictability assessment	40009465.500000	50798.500000
40009733	MovieStart	sticks_Final.avi	40009465.500000	50798.500000
40948300	MovieEnd	sticks_Final.avi	41029757.500000	52094.500000
41029844	MovieStart	52.avi	41029757.500000	52094.500000
45691532	MovieEnd	52.avi		
45701923	InstructionStart	Emotion keyword		
46093669	KeyPress	D5		
46094467	InstructionEnd	Emotion keyword		
46108057	InstructionStart	Arousal assessment		
46373486	KeyPress	D6		
46374284	InstructionEnd	Arousal assessment		
46384681	InstructionStart	Valence assessment		
46669289	KeyPress	D8		
46670093	InstructionEnd	Valence assessment		
46683681	InstructionStart	Dominance assessment		
47230513	KeyPress	D3		
47230513	InstructionEnd	Dominance assessment		
47240112	InstructionStart	Predictability assessment		
47571916	KeyPress	D3		
47571916	InstructionEnd	Predictability assessment	47651419.500000	60505.500000
47651833	MovieStart	waves_Final.avi	47651419.500000	60505.500000
48712718	MovieEnd	waves_Final.avi	48792949.500000	61955.500000
48793465	MovieStart	79.avi	48792949.500000	61955.500000
50863292	MovieEnd	79.avi		
50875284	InstructionStart	Emotion keyword		
51092739	KeyPress	D2		
51093543	InstructionEnd	Emotion keyword		
51105529	InstructionStart	Arousal assessment		
51427719	KeyPress	D4		
51428523	InstructionEnd	Arousal assessment		
51438914	InstructionStart	Valence assessment		
51644380	KeyPress	D7		
51644380	InstructionEnd	Valence assessment		
51655575	InstructionStart	Dominance assessment		
51948178	KeyPress	D4		
51948178	InstructionEnd	Dominance assessment		
51963368	InstructionStart	Predictability assessment		
52423061	KeyPress	D5		
52423061	InstructionEnd	Predictability assessment	52504102.500000	66669.500000
52504610	MovieStart	colorbars_Final.avi	52504102.500000	66669.500000
53463970	MovieEnd	colorbars_Final.avi	53544863.500000	67991.500000
53545514	MovieStart	73.avi	53544863.500000	67991.500000
57004027	MovieEnd	73.avi		
57016020	InstructionStart	Emotion keyword		
57252662	KeyPress	D9		
57252662	InstructionEnd	Emotion keyword		
57264655	InstructionStart	Arousal assessment		
57459724	KeyPress	D9		
57460522	InstructionEnd	Arousal assessment		
57471716	InstructionStart	Valence assessment		
57697167	KeyPress	D2		
57697965	InstructionEnd	Valence assessment		
57709958	InstructionStart	Dominance assessment		
58167253	KeyPress	D2		
58168050	InstructionEnd	Dominance assessment		
58179244	InstructionStart	Predictability assessment		
58562192	KeyPress	D6		
58562192	InstructionEnd	Predictability assessment	58642385.500000	74466.500000
58642938	MovieStart	seagulls_Final.avi	58642385.500000	74466.500000
59456784	MovieEnd	seagulls_Final.avi	59537502.500000	75603.500000
59537532	MovieStart	90.avi	59537502.500000	75603.500000
63666773	MovieEnd	90.avi		
63679565	InstructionStart	Emotion keyword		
64056119	KeyPress	D5		
64056119	InstructionEnd	Emotion keyword		
64067307	InstructionStart	Arousal assessment		
64323939	KeyPress	D3		
64324737	InstructionEnd	Arousal assessment		
64335932	InstructionStart	Valence assessment		
64586965	KeyPress	D6		
64587763	InstructionEnd	Valence assessment		
64598159	InstructionStart	Dominance assessment		
64945925	KeyPress	D6		
64945925	InstructionEnd	Dominance assessment		
64957917	InstructionStart	Predictability assessment		
65233744	KeyPress	D5		
65233744	InstructionEnd	Predictability assessment	65312857.500000	82939.500000
65312880	MovieStart	sticks_Final.avi	65312857.500000	82939.500000
66252246	MovieEnd	sticks_Final.avi	66332361.500000	84234.500000
66332992	MovieStart	107.avi	66332361.500000	84234.500000
68014278	MovieEnd	107.avi		
68023877	InstructionStart	Emotion keyword		
68572311	KeyPress	D8		
68573116	InstructionEnd	Emotion keyword		
68585906	InstructionStart	Arousal assessment		
68884110	KeyPress	D9		
68884907	InstructionEnd	Arousal assessment		
68893702	InstructionStart	Valence assessment		
69191108	KeyPress	D4		
69191906	InstructionEnd	Valence assessment		
69200701	InstructionStart	Dominance assessment		
69485314	KeyPress	D5		
69486112	InstructionEnd	Dominance assessment		
69496509	InstructionStart	Predictability assessment		
69974591	KeyPress	D5		
69974591	InstructionEnd	Predictability assessment	70056898.500000	88965.500000
70056934	MovieStart	waves_Final.avi	70056898.500000	88965.500000
71117020	MovieEnd	waves_Final.avi	71198429.500000	90415.500000
71198568	MovieStart	146.avi	71198429.500000	90415.500000
75423834	MovieEnd	146.avi		
75432629	InstructionStart	Emotion keyword		
75633300	KeyPress	D1		
75634098	InstructionEnd	Emotion keyword		
75642893	InstructionStart	Arousal assessment		
75966683	KeyPress	D7		
75967481	InstructionEnd	Arousal assessment		
75981069	InstructionStart	Valence assessment		
76446361	KeyPress	D3		
76447165	InstructionEnd	Valence assessment		
76457556	InstructionStart	Dominance assessment		
77018779	KeyPress	D7		
77018779	InstructionEnd	Dominance assessment		
77029169	InstructionStart	Predictability assessment		
77420106	KeyPress	D5		
77420106	InstructionEnd	Predictability assessment	77502036.500000	98422.500000
77502454	MovieStart	colorbars_Final.avi	77502036.500000	98422.500000
78463318	MovieEnd	colorbars_Final.avi	78543584.500000	99745.500000
78544063	MovieStart	30.avi	78543584.500000	99745.500000
81953104	MovieEnd	30.avi		
81963495	InstructionStart	Emotion keyword		
82662226	KeyPress	D7		
82663030	InstructionEnd	Emotion keyword		
82676619	InstructionStart	Arousal assessment		
82971620	KeyPress	D7		
82971620	InstructionEnd	Arousal assessment		
82983613	InstructionStart	Valence assessment		
83233045	KeyPress	D2		
83233849	InstructionEnd	Valence assessment		
83243442	InstructionStart	Dominance assessment		
83441707	KeyPress	D2		
83442505	InstructionEnd	Dominance assessment		
83452895	InstructionStart	Predictability assessment		
83663956	KeyPress	D7		
83663956	InstructionEnd	Predictability assessment	83745025.500000	106352.500000
83745507	MovieStart	seagulls_Final.avi	83745025.500000	106352.500000
84560166	MovieEnd	seagulls_Final.avi	84644078.500000	107494.500000
84644110	MovieStart	138.avi	84644078.500000	107494.500000
90262000	MovieEnd	138.avi		
90273188	InstructionStart	Emotion keyword		
90525821	KeyPress	D1		
90525821	InstructionEnd	Emotion keyword		
90535414	InstructionStart	Arousal assessment		
90857605	KeyPress	D6		
90857605	InstructionEnd	Arousal assessment		
90870398	InstructionStart	Valence assessment		
91155806	KeyPress	D3		
91155806	InstructionEnd	Valence assessment		
91165399	InstructionStart	Dominance assessment		
91381257	KeyPress	D1		
91381257	InstructionEnd	Dominance assessment		
91397245	InstructionStart	Predictability assessment		
91589118	KeyPress	D9		
91589118	InstructionEnd	Predictability assessment	91669605.500000	116418.500000
91669863	MovieStart	sticks_Final.avi	91669605.500000	116418.500000
92608430	MovieEnd	sticks_Final.avi	92693046.500000	117718.500000
92693170	MovieStart	newyork_f.avi	92693046.500000	117718.500000
97007857	MovieEnd	newyork_f.avi		
97019047	InstructionStart	Emotion keyword		
97284472	KeyPress	D2		
97284472	InstructionEnd	Emotion keyword		
97295667	InstructionStart	Arousal assessment		
97646635	KeyPress	D6		
97647433	InstructionEnd	Arousal assessment		
97658627	InstructionStart	Valence assessment		
97945630	KeyPress	D5		
97945630	InstructionEnd	Valence assessment		
97959224	InstructionStart	Dominance assessment		
98392532	KeyPress	D6		
98393336	InstructionEnd	Dominance assessment		
98402930	InstructionStart	Predictability assessment		
98672352	KeyPress	D7		
98673151	InstructionEnd	Predictability assessment	98754177.500000	125417.500000
98754693	MovieStart	waves_Final.avi	98754177.500000	125417.500000
99815572	MovieEnd	waves_Final.avi	99897281.500000	126869.500000
99897918	MovieStart	111.avi	99897281.500000	126869.500000
105374267	MovieEnd	111.avi		
105384664	InstructionStart	Emotion keyword		
105761212	KeyPress	D1		
105761212	InstructionEnd	Emotion keyword		
105772406	InstructionStart	Arousal assessment		
106075407	KeyPress	D6		
106076205	InstructionEnd	Arousal assessment		
106088995	InstructionStart	Valence assessment		
106362410	KeyPress	D2		
106363208	InstructionEnd	Valence assessment		
106375201	InstructionStart	Dominance assessment		
106633441	KeyPress	D1		
106633441	InstructionEnd	Dominance assessment		
106645418	InstructionStart	Predictability assessment		
106884389	KeyPress	D8		
106884389	InstructionEnd	Predictability assessment	106968469.500000	135851.500000
106969130	MovieStart	colorbars_Final.avi	106968469.500000	135851.500000
107930088	MovieEnd	colorbars_Final.avi	108012379.500000	137177.500000
108012429	MovieStart	detroit_f.avi	108012379.500000	137177.500000
112330306	MovieEnd	detroit_f.avi		
112341501	InstructionStart	Emotion keyword		
112554169	KeyPress	D4		
112554169	InstructionEnd	Emotion keyword		
112563751	InstructionStart	Arousal assessment		
112827578	KeyPress	D2		
112827578	InstructionEnd	Arousal assessment		
112841964	InstructionStart	Valence assessment		
113057026	KeyPress	D5		
113057824	InstructionEnd	Valence assessment		
113069013	InstructionStart	Dominance assessment		
113440796	KeyPress	D5		
113440796	InstructionEnd	Dominance assessment		
113452754	InstructionStart	Predictability assessment		
113689398	KeyPress	D6		
113689398	InstructionEnd	Predictability assessment	113771201.500000	144492.500000
113771740	MovieStart	seagulls_Final.avi	113771201.500000	144492.500000
114587187	MovieEnd	seagulls_Final.avi	114681276.500000	145648.500000
114681526	MovieStart	cats_f.avi	114681276.500000	145648.500000
119415941	MovieEnd	cats_f.avi		
119426332	InstructionStart	Emotion keyword		
119595016	KeyPress	D5		
119595016	InstructionEnd	Emotion keyword		
119606212	InstructionStart	Arousal assessment		
119786091	KeyPress	D7		
119786889	InstructionEnd	Arousal assessment		
119799685	InstructionStart	Valence assessment		
119959574	KeyPress	D7		
119959574	InstructionEnd	Valence assessment		
119970769	InstructionStart	Dominance assessment		
120347328	KeyPress	D3		
120347328	InstructionEnd	Dominance assessment		
120356110	InstructionStart	Predictability assessment		
120559974	KeyPress	D7		
120559974	InstructionEnd	Predictability assessment	120643212.500000	153221.500000
120643917	MovieStart	sticks_Final.avi	120643212.500000	153221.500000
121582480	MovieEnd	sticks_Final.avi	121664291.500000	154518.500000
121664821	MovieStart	dallas_f.avi	121664291.500000	154518.500000
125981886	MovieEnd	dallas_f.avi		
125993879	InstructionStart	Emotion keyword		
126240915	KeyPress	D4		
126240915	InstructionEnd	Emotion keyword		
126251310	InstructionStart	Arousal assessment		
126455171	KeyPress	D6		
126455171	InstructionEnd	Arousal assessment		
126466365	InstructionStart	Valence assessment		
126792546	KeyPress	D6		
126793344	InstructionEnd	Valence assessment		
126805336	InstructionStart	Dominance assessment		
127242645	KeyPress	D3		
127243449	InstructionEnd	Dominance assessment		
127253839	InstructionStart	Predictability assessment		
127528054	KeyPress	D6		
127528858	InstructionEnd	Predictability assessment	127608120.500000	162068.500000
127608800	MovieStart	waves_Final.avi	127608120.500000	162068.500000
128669678	MovieEnd	waves_Final.avi	128755161.500000	163525.500000
128755217	MovieStart	funny_f.avi	128755161.500000	163525.500000
132938013	MovieEnd	funny_f.avi		
132950804	InstructionStart	Emotion keyword		
133245860	KeyPress	D5		
133246661	InstructionEnd	Emotion keyword		
133256249	InstructionStart	Arousal assessment		
133496883	KeyPress	D8		
133496883	InstructionEnd	Arousal assessment		
133508078	InstructionStart	Valence assessment		
133742342	KeyPress	D8		
133742342	InstructionEnd	Valence assessment		
133753539	InstructionStart	Dominance assessment		
133957406	KeyPress	D7		
133958211	InstructionEnd	Dominance assessment		
133970201	InstructionStart	Predictability assessment		
134083747	KeyPress	D9		
134083747	InstructionEnd	Predictability assessment	134952882.500000	171398.500000
