System Properties:																																												
Operating System:	 Microsoft Windows NT 6.0.6001 Service Pack 1																																											
System User Name:	 Tobii																																											
Machine Name:	 MOUNTDOOM																																											
Data properties:																																												
Recording name:	 Rec 25																																											
Recording date:	 7/9/2009																																											
Recording time:	 5:54:17 PM																																											
Recording resolution:	 1280 x 800																																											
Export date:	 7/13/2009																																											
Export time:	 12:49:19 PM																																											
Participant:	 P1																																											
Filter settings:																																												
Eye: Average																																												
Validity: Normal																																												
Fixation filter: Tobii fixation filter																																												
Fixation radius: 35																																												
Timestamp	DateTimeStamp	DateTimeStampStartOffset	Number	GazePointXLeft	GazePointYLeft	CamXLeft	CamYLeft	DistanceLeft	PupilLeft	ValidityLeft	GazePointXRight	GazePointYRight	CamXRight	CamYRight	DistanceRight	PupilRight	ValidityRight	FixationIndex	GazePointX	GazePointY	Event	EventKey	Data1	Data2	Descriptor	StimuliName	StimuliID	MediaWidth	MediaHeight	MediaPosX	MediaPosY	MappedFixationPointX	MappedFixationPointY	FixationDuration	AoiIds	AoiNames	WebGroupImage	MappedGazeDataPointX	MappedGazeDataPointY	MicroSecondTimestamp	AbsoluteMicroSecondTimestamp	AudioSampleNumber		
22039	17:54:39.039	00:00:22.038	1322	580.4304	453.748900	0.646471	0.400196	709.303100	3.378583	0	577.8367	465.417000	0.487754	0.398838	713.236300	3.859768	0	56	579.000000	460						69.avi	0	1280	800	0	0	583	466	200	0	Content		579.000000	460	22038605	2509483490	1281914
22055	17:54:39.055	00:00:22.055	1323	585.5931	480.417400	0.646502	0.400392	709.408900	3.435945	0	581.4143	448.662000	0.487618	0.398933	712.979900	3.853610	0	56	584.000000	465						69.avi	0	1280	800	0	0	583	466	200	0	Content		584.000000	465	22055228	2509500113	1282711
22072	17:54:39.072	00:00:22.071	1324	578.3607	450.051600	0.646533	0.400440	709.324600	3.364197	0	591.7933	458.965600	0.487676	0.399006	713.104000	3.873317	0	56	585.000000	455						69.avi	0	1280	800	0	0	583	466	200	0	Content		585.000000	455	22071976	2509516861	1283515
22089	17:54:39.089	00:00:22.088	1325	582.7746	485.173600	0.646562	0.400283	709.170800	3.405705	0	583.0396	462.727100	0.487654	0.398926	712.866100	3.865730	0	56	583.000000	474						69.avi	0	1280	800	0	0	583	466	200	0	Content		583.000000	474	22088598	2509533483	1284313
22105	17:54:39.105	00:00:22.105	1326	577.2825	479.441000	0.646597	0.400276	709.191500	3.384144	0	589.6741	452.897600	0.487730	0.398881	713.305500	3.860874	0	56	583.000000	466						69.avi	0	1280	800	0	0	583	466	200	0	Content		583.000000	466	22105222	2509550107	1285111
22122	17:54:39.122	00:00:22.121	1327	576.5881	472.282200	0.646662	0.400397	709.300400	3.364667	0	593.749	460.653200	0.487845	0.398941	713.096900	3.845388	0	56	585.000000	466						69.avi	0	1280	800	0	0	583	466	200	0	Content		585.000000	466	22121843	2509566728	1285909
22139	17:54:39.139	00:00:22.138	1328	577.9764	495.522300	0.646704	0.400370	709.304600	3.392302	0	590.6866	467.065100	0.487872	0.398939	713.306700	3.851875	0	56	584.000000	481						69.avi	0	1280	800	0	0	583	466	200	0	Content		584.000000	481	22138610	2509583495	1286714
22155	17:54:39.155	00:00:22.155	1329	579.4016	477.551000	0.646770	0.400331	709.029500	3.327017	0	586.2582	466.823600	0.487903	0.398915	713.275000	3.840133	0	56	583.000000	472						69.avi	0	1280	800	0	0	583	466	200	0	Content		583.000000	472	22155218	2509600103	1287511
22172	17:54:39.172	00:00:22.171	1330	580.3454	460.264900	0.646820	0.400471	709.044000	3.306604	0	586.2134	470.362200	0.487945	0.399002	713.057900	3.840558	0	56	583.000000	465						69.avi	0	1280	800	0	0	583	466	200	0	Content		583.000000	465	22171844	2509616729	1288309
22188	17:54:39.188	00:00:22.188	1331	582.5233	470.328900	0.646834	0.400615	709.192400	3.340542	0	584.5751	467.170100	0.487953	0.399035	713.038600	3.823682	0	56	584.000000	469						69.avi	0	1280	800	0	0	583	466	200	0	Content		584.000000	469	22188466	2509633351	1289107
22205	17:54:39.205	00:00:22.205	1332	589.2803	471.019700	0.646829	0.400583	709.257900	3.346720	0	576.384	460.390800	0.487956	0.399000	712.886800	3.794675	0	56	583.000000	466						69.avi	0	1280	800	0	0	583	466	200	0	Content		583.000000	466	22205214	2509650099	1289911
22222	17:54:39.222	00:00:22.221	1333	571.8248	470.176900	0.646903	0.400699	709.080800	3.306711	0	574.0566	466.643100	0.488087	0.399124	713.425100	3.805295	0	57	573.000000	468						69.avi	0	1280	800	0	0	534	503	250	0	Content		573.000000	468	22221838	2509666723	1290709
22238	17:54:39.238	00:00:22.238	1334	544.2416	509.851000	0.647051	0.400978	709.040900	3.239672	0	540.1804	509.797400	0.488278	0.399565	713.309000	3.786385	0	57	542.000000	510						69.avi	0	1280	800	0	0	534	503	250	0	Content		542.000000	510	22238465	2509683350	1291507
22255	17:54:39.255	00:00:22.255	1335	545.4564	515.005800	0.647056	0.400972	709.148700	3.275182	0	538.4041	497.796300	0.488243	0.399475	713.257800	3.756609	0	57	542.000000	506						69.avi	0	1280	800	0	0	534	503	250	0	Content		542.000000	506	22255087	2509699972	1292305
22272	17:54:39.272	00:00:22.271	1336	543.7576	506.726300	0.647049	0.400889	709.366300	3.230276	0	537.2142	501.953300	0.488254	0.399432	713.236200	3.729708	0	57	540.000000	504						69.avi	0	1280	800	0	0	534	503	250	0	Content		540.000000	504	22271835	2509716720	1293108
22288	17:54:39.288	00:00:22.288	1337	542.2015	520.029900	0.647046	0.400891	709.576800	3.243201	0	544.0703	515.940800	0.488259	0.399494	713.194100	3.781319	0	57	543.000000	518						69.avi	0	1280	800	0	0	534	503	250	0	Content		543.000000	518	22288476	2509733361	1293907
22305	17:54:39.305	00:00:22.305	1338	540.5288	481.448200	0.647090	0.400984	709.245200	3.161787	0	533.4944	490.579400	0.488303	0.399521	712.888200	3.733522	0	57	537.000000	486						69.avi	0	1280	800	0	0	534	503	250	0	Content		537.000000	486	22305089	2509749974	1294705
22322	17:54:39.322	00:00:22.321	1339	536.3665	494.510000	0.647095	0.400858	709.029300	3.180389	0	531.6448	501.662200	0.488306	0.399468	713.272200	3.729631	0	57	534.000000	498						69.avi	0	1280	800	0	0	534	503	250	0	Content		534.000000	498	22321709	2509766594	1295502
22338	17:54:39.338	00:00:22.338	1340	526.4965	505.376300	0.647073	0.400843	709.007300	3.176822	0	541.6453	518.635100	0.488349	0.399360	712.796000	3.731136	0	57	534.000000	512						69.avi	0	1280	800	0	0	534	503	250	0	Content		534.000000	512	22338457	2509783342	1296306
22355	17:54:39.355	00:00:22.355	1341	535.682	504.174900	0.647064	0.400941	708.960600	3.234531	0	538.6707	499.309100	0.488321	0.399458	712.695700	3.711459	0	57	537.000000	502						69.avi	0	1280	800	0	0	534	503	250	0	Content		537.000000	502	22355081	2509799966	1297104
22372	17:54:39.372	00:00:22.371	1342	528.1561	519.177400	0.647030	0.400810	708.951800	3.239685	0	522.7769	509.543500	0.488271	0.399455	713.052200	3.722364	0	57	525.000000	514						69.avi	0	1280	800	0	0	534	503	250	0	Content		525.000000	514	22371704	2509816589	1297902
22388	17:54:39.388	00:00:22.388	1343	527.6697	492.373500	0.647058	0.400898	708.920000	3.234642	0	518.1826	496.711200	0.488314	0.399446	712.821200	3.715276	0	57	523.000000	495						69.avi	0	1280	800	0	0	534	503	250	0	Content		523.000000	495	22388328	2509833213	1298700
22405	17:54:39.405	00:00:22.405	1344	534.7789	521.279200	0.647061	0.400778	709.018600	3.266555	0	525.7869	490.833500	0.488334	0.399445	712.778000	3.736849	0	57	530.000000	506						69.avi	0	1280	800	0	0	534	503	250	0	Content		530.000000	506	22405076	2509849961	1299504
22422	17:54:39.422	00:00:22.421	1345	520.62	487.068100	0.647068	0.400793	709.038100	3.197790	0	528.4078	494.631400	0.488376	0.399387	712.908200	3.712027	0	57	525.000000	491						69.avi	0	1280	800	0	0	534	503	250	0	Content		525.000000	491	22421700	2509866585	1300302
22438	17:54:39.438	00:00:22.438	1346	516.4821	498.841700	0.647069	0.400764	709.083600	3.204814	0	524.0272	487.896700	0.488403	0.399454	712.890600	3.727866	0	57	520.000000	493						69.avi	0	1280	800	0	0	534	503	250	0	Content		520.000000	493	22438323	2509883208	1301100
22455	17:54:39.455	00:00:22.454	1347	514.1696	499.211500	0.647099	0.400767	709.073900	3.230447	0	517.4972	477.679300	0.488439	0.399441	712.893100	3.697257	0	57	516.000000	488						69.avi	0	1280	800	0	0	534	503	250	0	Content		516.000000	488	22454946	2509899831	1301898
22472	17:54:39.472	00:00:22.471	1348	523.0154	538.751100	0.647196	0.400799	709.316000	3.292354	0	530.5013	487.121000	0.488563	0.399493	712.776400	3.723580	0	58	527.000000	513						69.avi	0	1280	800	0	0	450	498	150	0	Content		527.000000	513	22471694	2509916579	1302701
22488	17:54:39.488	00:00:22.488	1349	443.2136	513.228600	0.647615	0.400903	709.111300	3.240619	0	452.2252	488.049600	0.489017	0.399550	712.598900	3.705651	0	58	448.000000	501						69.avi	0	1280	800	0	0	450	498	150	0	Content		448.000000	501	22488319	2509933204	1303499
22505	17:54:39.505	00:00:22.504	1350	447.45	485.070500	0.647696	0.400955	708.821500	3.185483	0	452.7686	492.564300	0.489127	0.399477	712.820100	3.692077	0	58	450.000000	489						69.avi	0	1280	800	0	0	450	498	150	0	Content		450.000000	489	22504943	2509949828	1304297
22522	17:54:39.522	00:00:22.521	1351	453.5283	510.471900	0.647719	0.401153	708.954200	3.236633	0	461.4247	526.604500	0.489165	0.399531	712.936600	3.728391	0	58	457.000000	519						69.avi	0	1280	800	0	0	450	498	150	0	Content		457.000000	519	22521565	2509966450	1305095
22538	17:54:39.538	00:00:22.538	1352	450.4581	498.696000	0.647726	0.401202	709.003900	3.219501	0	448.7999	491.929400	0.489171	0.399608	712.924900	3.670826	0	58	450.000000	495						69.avi	0	1280	800	0	0	450	498	150	0	Content		450.000000	495	22538317	2509983202	1305899
22555	17:54:39.555	00:00:22.554	1353	457.076	527.859400	0.647749	0.401220	708.977800	3.225260	0	444.0503	483.276600	0.489191	0.399672	712.895700	3.626055	0	58	451.000000	506						69.avi	0	1280	800	0	0	450	498	150	0	Content		451.000000	506	22554940	2509999825	1306697
22572	17:54:39.572	00:00:22.571	1354	453.1093	497.189900	0.647767	0.401355	709.126300	3.181662	0	452.6925	485.779200	0.489252	0.399749	713.122200	3.608657	0	58	453.000000	491						69.avi	0	1280	800	0	0	450	498	150	0	Content		453.000000	491	22571562	2510016447	1307495
22588	17:54:39.588	00:00:22.588	1355	445.779	490.167300	0.647768	0.401400	709.156300	3.142446	0	453.1472	492.573700	0.489257	0.399749	713.199200	3.602202	0	58	449.000000	491						69.avi	0	1280	800	0	0	450	498	150	0	Content		449.000000	491	22588314	2510033199	1308299
22605	17:54:39.605	00:00:22.604	1356	459.2237	529.929500	0.647896	0.401268	709.212000	3.216696	0	447.0157	481.893600	0.489384	0.399624	713.275000	3.624676	0	58	453.000000	506						69.avi	0	1280	800	0	0	450	498	150	0	Content		453.000000	506	22604938	2510049823	1309097
22622	17:54:39.622	00:00:22.621	1357	325.3854	344.195700	0.648172	0.400279	709.506000	3.200001	0	363.6833	296.470500	0.490297	0.398465	713.370300	3.624810	0	59	345.000000	320						69.avi	0	1280	800	0	0	344	281	616	0	Content		345.000000	320	22621559	2510066444	1309895
22638	17:54:39.638	00:00:22.638	1358	296.247	292.229600	0.648330	0.399768	710.116800	3.135314	0	328.7574	276.603200	0.490669	0.397803	713.224500	3.579865	0	59	313.000000	284						69.avi	0	1280	800	0	0	344	281	616	0	Content		313.000000	284	22638185	2510083070	1310693
22655	17:54:39.655	00:00:22.654	1359	315.8995	297.210400	0.648439	0.399900	710.029500	3.169255	0	336.4133	277.894400	0.490542	0.397910	713.087800	3.562584	0	59	326.000000	288						69.avi	0	1280	800	0	0	344	281	616	0	Content		326.000000	288	22654937	2510099822	1311497
22672	17:54:39.672	00:00:22.671	1360	310.6572	281.018000	0.648467	0.399853	709.963500	3.128272	0	341.3727	287.688500	0.490512	0.397857	712.984300	3.573190	0	59	326.000000	284						69.avi	0	1280	800	0	0	344	281	616	0	Content		326.000000	284	22671558	2510116443	1312295
22688	17:54:39.688	00:00:22.688	1361	311.3353	284.658000	0.648462	0.399867	709.896500	3.105437	0	335.8887	280.393200	0.490444	0.397871	713.178700	3.565348	0	59	324.000000	283						69.avi	0	1280	800	0	0	344	281	616	0	Content		324.000000	283	22688180	2510133065	1313093
22705	17:54:39.705	00:00:22.704	1362	322.0099	291.569000	0.648445	0.399829	709.886200	3.094182	0	335.0943	268.158300	0.490394	0.397841	713.189500	3.511453	0	59	329.000000	280						69.avi	0	1280	800	0	0	344	281	616	0	Content		329.000000	280	22704807	2510149692	1313891
22722	17:54:39.722	00:00:22.721	1363	318.9271	289.838200	0.648396	0.399822	709.889400	3.083727	0	343.7377	275.902600	0.490294	0.397839	713.483800	3.555849	0	59	331.000000	283						69.avi	0	1280	800	0	0	344	281	616	0	Content		331.000000	283	22721557	2510166442	1314695
22738	17:54:39.738	00:00:22.738	1364	323.5617	296.642300	0.648347	0.399729	709.934400	3.093444	0	337.7646	271.350800	0.490236	0.397786	713.380600	3.524369	0	59	331.000000	284						69.avi	0	1280	800	0	0	344	281	616	0	Content		331.000000	284	22738180	2510183065	1315493
22755	17:54:39.755	00:00:22.754	1365	316.3913	292.159400	0.648292	0.399635	709.860100	3.086114	0	345.0253	307.821500	0.490200	0.397568	713.280600	3.531205	0	59	331.000000	300						69.avi	0	1280	800	0	0	344	281	616	0	Content		331.000000	300	22754804	2510199689	1316290
22771	17:54:39.771	00:00:22.771	1366	320.1141	297.375300	0.648273	0.399603	709.784600	3.091539	0	347.0045	303.918000	0.490155	0.397547	713.154200	3.562725	0	59	334.000000	301						69.avi	0	1280	800	0	0	344	281	616	0	Content		334.000000	301	22771428	2510216313	1317088
22788	17:54:39.788	00:00:22.788	1367	320.1735	286.317700	0.648259	0.399636	709.879000	3.077843	0	340.2251	289.019200	0.490104	0.397660	712.987100	3.532179	0	59	330.000000	288						69.avi	0	1280	800	0	0	344	281	616	0	Content		330.000000	288	22788177	2510233062	1317892
22805	17:54:39.805	00:00:22.804	1368	314.6443	304.094300	0.648257	0.399644	709.865400	3.101039	0	343.8057	289.079700	0.490086	0.397659	712.906000	3.472971	0	59	329.000000	297						69.avi	0	1280	800	0	0	344	281	616	0	Content		329.000000	297	22804800	2510249685	1318690
22821	17:54:39.821	00:00:22.821	1369	317.6281	299.294900	0.648241	0.399640	709.916900	3.079647	0	342.8014	301.800400	0.490045	0.397656	712.908100	3.493654	0	59	330.000000	301						69.avi	0	1280	800	0	0	344	281	616	0	Content		330.000000	301	22821424	2510266309	1319488
22838	17:54:39.838	00:00:22.838	1370	320.0107	300.840800	0.648234	0.399653	709.898500	3.101048	0	348.0417	284.933700	0.490036	0.397673	712.778500	3.469136	0	59	334.000000	293						69.avi	0	1280	800	0	0	344	281	616	0	Content		334.000000	293	22838048	2510282933	1320286
22855	17:54:39.855	00:00:22.854	1371	328.9538	296.430800	0.648263	0.399756	709.903500	3.080420	0	349.5891	281.218000	0.490046	0.397707	712.800500	3.448637	0	59	339.000000	289						69.avi	0	1280	800	0	0	344	281	616	0	Content		339.000000	289	22854793	2510299678	1321090
22871	17:54:39.871	00:00:22.871	1372	329.7281	283.048600	0.648316	0.399825	709.834300	3.067492	0	349.5717	276.549300	0.490073	0.397755	712.759800	3.421349	0	59	340.000000	280						69.avi	0	1280	800	0	0	344	281	616	0	Content		340.000000	280	22871417	2510316302	1321888
22888	17:54:39.888	00:00:22.888	1373	331.6146	283.051400	0.648374	0.399961	709.713500	3.067480	0	350.9274	295.012800	0.490113	0.397869	712.768600	3.483539	0	59	341.000000	289						69.avi	0	1280	800	0	0	344	281	616	0	Content		341.000000	289	22888039	2510332924	1322686
22905	17:54:39.905	00:00:22.904	1374	336.7696	274.069800	0.648477	0.400091	709.765400	3.080243	0	344.8821	286.314600	0.490173	0.397922	712.852100	3.469445	0	59	341.000000	280						69.avi	0	1280	800	0	0	344	281	616	0	Content		341.000000	280	22904665	2510349550	1323484
22921	17:54:39.921	00:00:22.921	1375	338.9621	286.323800	0.648548	0.400126	709.647300	3.123617	0	352.7365	279.015100	0.490228	0.397946	712.906900	3.489602	0	59	346.000000	283						69.avi	0	1280	800	0	0	344	281	616	0	Content		346.000000	283	22921411	2510366296	1324287
22938	17:54:39.938	00:00:22.938	1376	339.1369	275.284000	0.648609	0.400197	709.580000	3.076154	0	346.6022	275.371000	0.490286	0.397988	712.946900	3.478388	0	59	343.000000	275						69.avi	0	1280	800	0	0	344	281	616	0	Content		343.000000	275	22938037	2510382922	1325085
22955	17:54:39.955	00:00:22.954	1377	330.0829	271.717800	0.648661	0.400276	709.599700	3.076117	0	347.8738	262.571400	0.490375	0.398092	712.818200	3.463769	0	59	339.000000	267						69.avi	0	1280	800	0	0	344	281	616	0	Content		339.000000	267	22954660	2510399545	1325883
22971	17:54:39.971	00:00:22.971	1378	339.4664	293.751000	0.648707	0.400299	709.542400	3.098433	0	356.3205	270.217800	0.490420	0.398130	712.813700	3.487501	0	59	348.000000	282						69.avi	0	1280	800	0	0	344	281	616	0	Content		348.000000	282	22971283	2510416168	1326681
22988	17:54:39.988	00:00:22.988	1379	337.6396	291.051800	0.648740	0.400291	709.619800	3.136259	0	359.184	266.554400	0.490454	0.398137	712.774900	3.534090	0	59	348.000000	279						69.avi	0	1280	800	0	0	344	281	616	0	Content		348.000000	279	22988034	2510432919	1327485
23005	17:54:40.005	00:00:23.004	1380	347.2131	292.750400	0.648774	0.400325	709.694300	3.163262	0	356.9841	262.056100	0.490464	0.398166	712.846400	3.526502	0	59	352.000000	277						69.avi	0	1280	800	0	0	344	281	616	0	Content		352.000000	277	23004658	2510449543	1328283
23021	17:54:40.021	00:00:23.021	1381	349.628	287.506700	0.648778	0.400395	709.777600	3.167093	0	355.8436	272.575500	0.490463	0.398225	712.935900	3.515299	0	59	353.000000	280						69.avi	0	1280	800	0	0	344	281	616	0	Content		353.000000	280	23021282	2510466167	1329081
23038	17:54:40.038	00:00:23.038	1382	344.2318	285.016300	0.648774	0.400358	709.773000	3.162168	0	361.2384	269.693000	0.490485	0.398183	712.789800	3.542526	0	59	353.000000	277						69.avi	0	1280	800	0	0	344	281	616	0	Content		353.000000	277	23038027	2510482912	1329885
23055	17:54:40.055	00:00:23.054	1383	342.9158	282.235800	0.648750	0.400289	709.737200	3.177270	0	353.6208	257.333200	0.490457	0.398105	712.979000	3.548714	0	59	348.000000	270						69.avi	0	1280	800	0	0	344	281	616	0	Content		348.000000	270	23054650	2510499535	1330683
23071	17:54:40.071	00:00:23.071	1384	344.157	280.903700	0.648736	0.400314	709.762000	3.172349	0	362.7391	255.050800	0.490440	0.398143	713.041500	3.583646	0	59	353.000000	268						69.avi	0	1280	800	0	0	344	281	616	0	Content		353.000000	268	23071277	2510516162	1331481
23088	17:54:40.088	00:00:23.087	1385	347.0915	284.821600	0.648733	0.400347	709.775100	3.176796	0	357.9145	264.588400	0.490426	0.398178	713.018200	3.588802	0	59	353.000000	275						69.avi	0	1280	800	0	0	344	281	616	0	Content		353.000000	275	23087901	2510532786	1332279
23105	17:54:40.105	00:00:23.104	1386	349.9776	292.083100	0.648733	0.400337	709.635900	3.205624	0	366.5498	277.719500	0.490438	0.398148	713.008400	3.619213	0	59	358.000000	285						69.avi	0	1280	800	0	0	344	281	616	0	Content		358.000000	285	23104651	2510549536	1333083
23121	17:54:40.121	00:00:23.121	1387	347.9153	291.712000	0.648743	0.400331	709.606000	3.227634	0	361.4048	265.933900	0.490431	0.398143	713.064100	3.645388	0	59	355.000000	279						69.avi	0	1280	800	0	0	344	281	616	0	Content		355.000000	279	23121273	2510566158	1333881
23138	17:54:40.138	00:00:23.137	1388	342.7435	287.495500	0.648747	0.400354	709.620300	3.241041	0	364.2723	259.812500	0.490430	0.398157	713.042300	3.682493	0	59	354.000000	274						69.avi	0	1280	800	0	0	344	281	616	0	Content		354.000000	274	23137901	2510582786	1334679
23155	17:54:40.155	00:00:23.154	1389	347.9862	282.955200	0.648714	0.400302	709.595200	3.225081	0	372.3729	272.549200	0.490400	0.398103	713.061000	3.697155	0	59	360.000000	278						69.avi	0	1280	800	0	0	344	281	616	0	Content		360.000000	278	23154542	2510599427	1335478
23171	17:54:40.171	00:00:23.171	1390	353.851	286.639300	0.648685	0.400301	709.617200	3.252707	0	366.1869	274.100400	0.490340	0.398150	713.424400	3.738487	0	59	360.000000	280						69.avi	0	1280	800	0	0	344	281	616	0	Content		360.000000	280	23171291	2510616176	1336281
